alpha0_multiplier,alpha0_value,term,z_score,log_odds_delta
0.25,2278.5,aied,1.0577945747305393,0.5179169843445948
0.25,2278.5,aigc,-1.3588193599424334,-1.653509765820191
0.25,2278.5,aigc technology,-0.5135180536861812,-1.6532928021613191
0.25,2278.5,ail,-1.3366137081067857,-0.953467866687352
0.25,2278.5,ails,-1.012735239302307,-1.6533972574874056
0.25,2278.5,aim,-0.24548014678971974,-0.09939816089662123
0.25,2278.5,aim cultivate,-0.382750038525471,-1.6532767335379805
0.25,2278.5,aim enhance,-0.382750038525471,-1.6532767335379805
0.25,2278.5,aim examine,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,aim explore,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,aimed,-0.6023337572407778,-0.2650369685974443
0.25,2278.5,aimed develop,-0.382750038525471,-1.6532767335379805
0.25,2278.5,aimed enhancing,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,aimed explore,-0.5929638954518005,-1.6533048538784971
0.25,2278.5,aimed identify,-0.4841482876385398,-1.653288784969817
0.25,2278.5,aimed investigate,-0.4841482876385398,-1.653288784969817
0.25,2278.5,aiming,0.2545783075459758,0.13767006561366912
0.25,2278.5,algorithm,2.1134692867291442,0.8060368068950732
0.25,2278.5,algorithmic,-0.164791011856918,-0.06706295743586743
0.25,2278.5,algorithmic bias,1.59051760105572,0.802140159164451
0.25,2278.5,algorithmic biases,-0.6847023842147384,-1.653320923167648
0.25,2278.5,algorithms,1.445908234525363,0.5819795916434405
0.25,2278.5,align,-1.161054015463931,-1.6534414549653764
0.25,2278.5,aligned,-0.9531001225400643,-1.6533811863908028
0.25,2278.5,aligning,-1.069051001744186,-1.653413328964568
0.25,2278.5,alignment,-1.122547095685027,-1.653429400822306
0.25,2278.5,aligns,-0.7262400778140753,-1.6533289579549049
0.25,2278.5,alike,-0.4841482876385398,-1.653288784969817
0.25,2278.5,alleviate,1.1007830879299016,1.1514068362642682
0.25,2278.5,alleviating,-0.382750038525471,-1.6532767335379805
0.25,2278.5,allocation,-0.7655279783074751,-1.6533369928372874
0.25,2278.5,allow,2.239615768083669,1.3888388436369823
0.25,2278.5,allowed,0.8691735023356172,0.8841035101390702
0.25,2278.5,allowing,0.9665344365634286,0.680819082093505
0.25,2278.5,allows,2.0752090781626693,1.0767096737878266
0.25,2278.5,alongside,-1.2344727657209558,-1.6534655638937839
0.25,2278.5,alpha,-0.6171778896839791,-1.653308871165116
0.25,2278.5,alter,1.404612935711137,1.535642158066322
0.25,2278.5,alternative,-0.6171778896839791,-1.653308871165116
0.25,2278.5,ambiguity,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,ambivalent,-0.382750038525471,-1.6532767335379805
0.25,2278.5,america,-0.5929638954518005,-1.6533048538784971
0.25,2278.5,american,0.22845239869232978,0.2161218531247826
0.25,2278.5,amid,-0.5135180536861812,-1.6532928021613191
0.25,2278.5,amidst,-0.382750038525471,-1.6532767335379805
0.25,2278.5,amos,-0.4841482876385398,-1.653288784969817
0.25,2278.5,amounts,2.755128981498432,2.486090401400114
0.25,2278.5,amplifying,-0.5135180536861812,-1.6532928021613191
0.25,2278.5,analogies,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,analyse,-0.7655279783074751,-1.6533369928372874
0.25,2278.5,analysed,-0.07791540403227085,-0.050263504377534574
0.25,2278.5,analyses,-0.05303091116446581,-0.024284608834088672
0.25,2278.5,analyses indicated,1.404612935711137,1.535642158066322
0.25,2278.5,analyses revealed,-0.5135180536861812,-1.6532928021613191
0.25,2278.5,analyses showed,-0.382750038525471,-1.6532767335379805
0.25,2278.5,analysing,-0.5929638954518005,-1.6533048538784971
0.25,2278.5,analytical,0.7228916918399076,0.4036159832080557
0.25,2278.5,analytics,-0.7557398380746262,-0.6135158399664355
0.25,2278.5,analyze,-0.4878816495367977,-0.24863846737765716
0.25,2278.5,analyze relationships,-0.382750038525471,-1.6532767335379805
0.25,2278.5,analyzed,-1.7316914861965509,-0.8973249718657801
0.25,2278.5,analyzed descriptive,-0.6404773208481723,-1.6533128884755133
0.25,2278.5,analyzed partial,-0.5412968716761419,-1.6532968193765996
0.25,2278.5,analyzed spss,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,analyzed thematic,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,analyzes,-0.9981603239360699,-1.6533932396775768
0.25,2278.5,analyzing,-1.3479886655102502,-1.6535057473442887
0.25,2278.5,anchored,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,annual,-0.382750038525471,-1.6532767335379805
0.25,2278.5,anonymous,-0.5135180536861812,-1.6532928021613191
0.25,2278.5,anova,-0.6629586218846464,-1.6533169058096906
0.25,2278.5,answer,0.0438524772029292,0.04053943391192405
0.25,2278.5,answer questions,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,answered,0.9779746768508669,1.0075270587686784
0.25,2278.5,answers,-0.8894782628515738,-1.6533651156747453
0.25,2278.5,antecedents,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,anthropomorphic,0.1314912207214636,0.12292448439191617
0.25,2278.5,anthropomorphism,-0.6847023842147384,-1.653320923167648
0.25,2278.5,anticipate,2.755128981498432,2.486090401400114
0.25,2278.5,anticipated,-0.6171778896839791,-1.653308871165116
0.25,2278.5,anxiety,-0.9333216819445382,-0.39968582406277253
0.25,2278.5,anxiety scale,-0.382750038525471,-1.6532767335379805
0.25,2278.5,app,4.015892429635092,2.6645227603806676
0.25,2278.5,appeal,-0.382750038525471,-1.6532767335379805
0.25,2278.5,appear,-0.6847023842147384,-1.653320923167648
0.25,2278.5,appeared,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,appears,1.8664736957156238,1.423350299614457
0.25,2278.5,applicability,-0.5677183279594726,-1.65330083661566
0.25,2278.5,applicable,-0.5412968716761419,-1.6532968193765996
0.25,2278.5,application,2.149893004360479,0.4163747974597527
0.25,2278.5,application chatgpt,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,application ethical,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,application generative,-0.6847023842147384,-1.653320923167648
0.25,2278.5,application scenarios,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,application technologies,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,application tools,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,applications,1.8715985475492234,0.3679441440812763
0.25,2278.5,applications ethical,-0.4841482876385398,-1.653288784969817
0.25,2278.5,applications healthcare,-0.382750038525471,-1.6532767335379805
0.25,2278.5,applied,-0.41837488544545376,-0.21453041841110743
0.25,2278.5,applied sciences,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,applies,-0.5135180536861812,-1.6532928021613191
0.25,2278.5,apply,1.6404463563266374,0.6661095760761331
0.25,2278.5,apply evaluate,1.404612935711137,1.535642158066322
0.25,2278.5,applying,1.3546017443168712,0.5429808209584772
0.25,2278.5,applying generative,-0.382750038525471,-1.6532767335379805
0.25,2278.5,appraisal,-0.802896419111638,-1.6533450278147956
0.25,2278.5,appraisal practical,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,appreciated,1.2413052113518008,1.3232542707439237
0.25,2278.5,appreciation,-0.5135180536861812,-1.6532928021613191
0.25,2278.5,apprehensions,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,approached,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,approaches,1.7126694050049773,0.40159042951141366
0.25,2278.5,approaching,-0.382750038525471,-1.6532767335379805
0.25,2278.5,appropriate,2.149762965020903,0.8211483040605092
0.25,2278.5,appropriately,2.433091078029239,1.535787404415501
0.25,2278.5,appropriateness,0.6833943516856901,0.6807705664210832
0.25,2278.5,approximately,1.2413052113518008,1.3232542707439237
0.25,2278.5,apps,-0.5929638954518005,-1.6533048538784971
0.25,2278.5,april,-0.6171778896839791,-1.653308871165116
0.25,2278.5,arab,-0.7461425639155154,-1.6533329753842079
0.25,2278.5,arabia,-0.7655279783074751,-1.6533369928372874
0.25,2278.5,architecture,0.9779746768508669,1.0075270587686784
0.25,2278.5,archival,0.2811040633132913,0.26760356181163303
0.25,2278.5,area,3.4378156486494125,1.2056268336055913
0.25,2278.5,areas,0.575199045356303,0.19180192185127698
0.25,2278.5,areas improvement,-0.382750038525471,-1.6532767335379805
0.25,2278.5,argue,-1.173609167591582,-1.6534454730606356
0.25,2278.5,argued,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,argues,-0.3294842859361489,-0.28865837590972276
0.25,2278.5,arguing,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,argument,-0.6847023842147384,-1.653320923167648
0.25,2278.5,arguments,-0.5412968716761419,-1.6532968193765996
0.25,2278.5,arise,1.755561674548429,1.3233228727763748
0.25,2278.5,arising,-0.4192826787403691,-1.6532807506581477
0.25,2278.5,art,0.10028634256863259,0.053623636379148465
0.25,2278.5,art design,-0.6404773208481723,-1.6533128884755133
0.25,2278.5,artefacts,0.5287732509761435,0.5177955230436204
0.25,2278.5,articles,-0.7400258216366966,-0.36838542342657554
0.25,2278.5,articles included,1.2413052113518008,1.3232542707439237
0.25,2278.5,articles published,-0.7057767780105082,-1.6533249405493873
0.25,2278.5,articles selected,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,articulate,-0.45287815377634527,-1.6532847678020932
0.25,2278.5,articulated,-0.382750038525471,-1.6532767335379805
